"","Project Number","Country Name.x","objectives","outcomes","Long.op.name"
"2","AR-L1326","Argentina","+Efectos indirectos de la pandemia sobre la salud mitigados","Capacidad de provisión de servicios mejorada","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"3","AR-L1326","Argentina","+Efectos indirectos de la pandemia sobre la salud mitigados","Detección y seguimiento de los casos mejorada","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"4","AR-L1326","Argentina","+Efectos indirectos de la pandemia sobre la salud mitigados","Esfuerzos para la interrupción de la cadena de transmisión de la enfermedad apoyados","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"5","AR-L1326","Argentina","+Efectos indirectos de la pandemia sobre la salud mitigados","Conducción de la respuesta a nivel del país fortalecida","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"6","AR-L1326","Argentina","+Reducción de la morbilidad y mortalidad por COVID-19","Capacidad de provisión de servicios mejorada","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"7","AR-L1326","Argentina","+Reducción de la morbilidad y mortalidad por COVID-19","Detección y seguimiento de los casos mejorada","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"8","AR-L1326","Argentina","+Reducción de la morbilidad y mortalidad por COVID-19","Esfuerzos para la interrupción de la cadena de transmisión de la enfermedad apoyados","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"9","AR-L1326","Argentina","+Reducción de la morbilidad y mortalidad por COVID-19","Conducción de la respuesta a nivel del país fortalecida","AR-L1326 - Immediate Public Health Response Project en the context of the COVID-19 Pandemic to contain, control and mitigate its effect in health service provision in Argentina"
"10","AR-L1340","Argentina","+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","2. Mejorar la efectividad e integración de redes de servicios de salud","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"11","AR-L1340","Argentina","+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","3. Ampliar la capacidad prestacional para la prevención, detección y atención de COVID-19","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"12","AR-L1340","Argentina","+Mejorar la accesibilidad y la cobertura efectiva de los servicios públicos de salud para la población de la PBA","1. Mejorar la accesibilidad y resolutividad de los servicios públicos de salud del primer nivel de atención","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"13","AR-L1358","Argentina","+Contribuir a la reducción de la mortalidad prematura y al cierre de brechas entre jurisdicciones argentinas en las líneas de cuidado priorizadas.","1. Incrementar el acceso efectivo a servicios de diagnóstico y atención por parte de la Población con Cobertura Pública Exclusiva (PCPE) en las líneas de cuidado priorizadas","AR-L1358 - First Individual Operation of the Program for the Integration of the Argentine Health System"
"14","BH-L1053","Bahamas","+To support the strengthening of The Bahamas health system to meet the population’s health needs","To integrate primary and secondary care services that DPH, PHA, NHIA deliver","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"15","BH-L1053","Bahamas","+To support the strengthening of The Bahamas health system to meet the population’s health needs","To increase health services efficiency","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"16","BH-L1053","Bahamas","+To support the strengthening of The Bahamas health system to meet the population’s health needs","To improve access, coverage, and quality of community, ambulatory, and hospital services through a person and community centered model of care","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"17","BL-L1036","Belize","+Contribute to the reduction of the morbidity and mortality caused by COVID-19 and to mitigate other indirect impacts of the pandemic","Supporting initiatives to break the chain of transmission of the illness","BL-L1036 - Program to Support the Health Sector to Contain and Control Coronavirus and to Mitigate its Effect on Service Provision"
"18","BO-L1067","Bolivia","+Mortalidad materno infantil en el Departamento de Potosi reducida","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi"
"19","BO-L1078","Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","Redes de atención de salud fortalecidas a través de la implementación de norma de referencia y retorno","BO-L1078 - Improved access to health services in Bolivia"
"20","BO-L1078","Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","Acceso/utilización de servicos hospitalarios incrementado","BO-L1078 - Improved access to health services in Bolivia"
"21","BO-L1078","Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","Estándar nacional de eficiencia de producción de servicios (egresos) cumplido","BO-L1078 - Improved access to health services in Bolivia"
"22","BO-L1082","Bolivia","+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","Utilización de los servicios hospitalarios en el Municipio de El Alto incrementada","BO-L1082 - Improved Access to Health Services El Alto Bolivia"
"23","BO-L1082","Bolivia","+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","Capacidad de resolución en atención de salud materno-infantil y CaCU (Cáncer Cérvico - Uterino) en el Municipio de El Alto mejorada","BO-L1082 - Improved Access to Health Services El Alto Bolivia"
"24","BO-L1198","Bolivia","+Morbi-mortalidad materna y neonatal reducida","1. Calidad y Accesibilidad de los cuidados obstétricos, neonatales y de la Planificación Familiar, incrementada","BO-L1198 - Program to improve accessibility to maternal and Neonatal health services in Bolivia"
"25","BO-L1198","Bolivia","+Morbi-mortalidad materna y neonatal reducida","3. Capacidad de gestión y eficiencia de las redes y establecimientos de salud, incrementadas","BO-L1198 - Program to improve accessibility to maternal and Neonatal health services in Bolivia"
"26","BO-L1198","Bolivia","+Morbi-mortalidad materna y neonatal reducida","2. Capacidad resolutiva de la red de servicios de salud, incrementada","BO-L1198 - Program to improve accessibility to maternal and Neonatal health services in Bolivia"
"29","BR-L1376","Brazil","+Condições de Saúde da População do Estado de São Paulo melhoradas","Serviços de Saúde seguindo o modelo de redes estruturados","BR-L1376 - Strengthening health management in the State of São Paulo"
"31","BR-L1389","Brazil","+Condições de Saúde da População do Estado da Bahia melhoradas","Melhorar a oferta e a qualidade dos serviços de saúde reduzindo os déficits na atenção primária e consolidando a APS como porta de entrada coordenada e organizadora da atenção.","BR-L1389 - Strengthening the Unified Health System in Salvador"
"32","BR-L1389","Brazil","+Condições de Saúde da População do Estado da Bahia melhoradas","Melhorar a gestão do SUS na RMS, a fim de fortalecer o rol estratégico da SESAB e através do desenvolvimento de um modelo de atenção integrada em rede.","BR-L1389 - Strengthening the Unified Health System in Salvador"
"33","BR-L1408","Brazil","+Contribuir para a melhoria das condições de saúde da população do Ceará.","Acesso e qualidade dos serviços de saúde aumentados.","BR-L1408 - Program for the Expansion and Improvement of Specialized Health Care in the Stat"
"34","BR-L1408","Brazil","+Contribuir para a melhoria das condições de saúde da população do Ceará.","Desempenho do sistema de saúde melhorado.","BR-L1408 - Program for the Expansion and Improvement of Specialized Health Care in the Stat"
"35","BR-L1414","Brazil","+Comportamientos de riesgo de la poblacion entre 15 y 29 años de edad en la ciudad de Fortaleza reducidos.","Redes integradas de servicios de salud y de inclusión social para la juventud en Fortaleza consolidada y expandida.","BR-L1414 - Program for Strengthening Social Inclusion and Healthcare Networks ¿ PROREDES Fo"
"36","BR-L1414","Brazil","+Comportamientos de riesgo de la poblacion entre 15 y 29 años de edad en la ciudad de Fortaleza reducidos.","Ampliar el acceso y la calidad de los servicios de salud de mediana complejidad, y mejorar su integración con la atención primaria, para mejorar el modelo de Redes de Atención a la Salud (RAS)","BR-L1414 - Program for Strengthening Social Inclusion and Healthcare Networks ¿ PROREDES Fo"
"37","BR-L1414","Brazil","+Comportamientos de riesgo de la poblacion entre 15 y 29 años de edad en la ciudad de Fortaleza reducidos.","Consolidar la oferta municipal de actividades formativas, culturales, deportivas y de prevención de conductas de riesgo para la población joven de Fortaleza","BR-L1414 - Program for Strengthening Social Inclusion and Healthcare Networks ¿ PROREDES Fo"
"38","BR-L1414","Brazil","+Contribuir a mejorar las condiciones de salud de la población general y reducir las conductas de riesgo de jóvenes vulnerables del Municipio de Fortaleza (MF).","Redes integradas de servicios de salud y de inclusión social para la juventud en Fortaleza consolidada y expandida.","BR-L1414 - Program for Strengthening Social Inclusion and Healthcare Networks ¿ PROREDES Fo"
"39","BR-L1414","Brazil","+Contribuir a mejorar las condiciones de salud de la población general y reducir las conductas de riesgo de jóvenes vulnerables del Municipio de Fortaleza (MF).","Ampliar el acceso y la calidad de los servicios de salud de mediana complejidad, y mejorar su integración con la atención primaria, para mejorar el modelo de Redes de Atención a la Salud (RAS)","BR-L1414 - Program for Strengthening Social Inclusion and Healthcare Networks ¿ PROREDES Fo"
"40","BR-L1414","Brazil","+Contribuir a mejorar las condiciones de salud de la población general y reducir las conductas de riesgo de jóvenes vulnerables del Municipio de Fortaleza (MF).","Consolidar la oferta municipal de actividades formativas, culturales, deportivas y de prevención de conductas de riesgo para la población joven de Fortaleza","BR-L1414 - Program for Strengthening Social Inclusion and Healthcare Networks ¿ PROREDES Fo"
"41","BR-L1415","Brazil","+Condições de Saúde da população de SBC melhoradas","Indicadores de resultado final","BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo"
"42","BR-L1415","Brazil","+Condições de Saúde da população de SBC melhoradas","Indicadores de Resultados Intermediários","BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo"
"43","BR-L1429","Brazil","+Tasas mejoradas","Tiempos de permanencia en los hospitales mejorado","BR-L1429 - CITY OF SÃO PAULO HEALTH CARE NETWORKS RESTRUCTURING AND QUALITY CERTIFICATION PROJECT – AVANÇA SAÚDE SP"
"44","BR-L1518","Brazil","+Contribuir para a melhoria das condições de saúde da população da Paraíba","Contribuir para a melhoria das condições de saúde da população da Paraíba através da consolidação das Redes de Atenção à Saúde (RAS) e do fortalecimento das capacidades de gestão estadual da saúde.","BR-L1518 - Program to Strengthen the Care Model in the Paraiba Health Network"
"45","BR-L1518","Brazil","+Contribuir a mejorar las condiciones de salud de la población de Paraíba","Contribuir para a melhoria das condições de saúde da população da Paraíba através da consolidação das Redes de Atenção à Saúde (RAS) e do fortalecimento das capacidades de gestão estadual da saúde.","BR-L1518 - Program to Strengthen the Care Model in the Paraiba Health Network"
"46","BR-L1519","Brazil","+Contribuir para mejorar la salud de la población del Municipio de Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"47","BR-L1519","Brazil","+Contribuir para mejorar la salud de la población del Municipio de Belo Horizonte","Ampliação do acesso aos serviços de saúde","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"48","BR-L1519","Brazil","+Contribuir para melhorar a saúde da população do Município de Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"49","BR-L1519","Brazil","+Contribuir para melhorar a saúde da população do Município de Belo Horizonte","Ampliação do acesso aos serviços de saúde","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"50","BR-L1583","Brazil","+Mejorar la salud de la población del Estado de Sergipe.","Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"51","BR-L1583","Brazil","+Mejorar la salud de la población del Estado de Sergipe.","Objetivo específico de desarrollo 2: Modernizar los procesos de gestión y asistenciales, a través de una transformación digital.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"52","BR-L1606","Brazil","+Objetivo general de desarrollo: mejorar las condiciones de salud de la población de Ourinhos, mediante la ampliación del acceso y la mejora de la calidad de los servicios de salud","Objetivo específico de desarrollo 1: ampliar el acceso y la efectividad de los servicios de salud.","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP"
"53","BR-L1606","Brazil","+Objetivo general de desarrollo: mejorar las condiciones de salud de la población de Ourinhos, mediante la ampliación del acceso y la mejora de la calidad de los servicios de salud","Objetivo específico de desarrollo 2: ampliar la capacidad de gestión de la Secretaría Municipal de Salud.","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP"
"54","CO-L1248","Colombia","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Mejorar la gestión en servicios y tecnologías no financiadas con la UPC","CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach."
"55","CO-L1248","Colombia","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Mejorar la cobertura de afiliación de la población inmigrante","CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach."
"56","CO-L1248","Colombia","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Mejorar la eficiencia y cobertura del SGSSS","CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach."
"57","DR-L1067","Dominican Republic","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","Contribuir a la disminución de la morbi-mortalidad materna e infantil mediante la expansión de una estrategia de mejoras gerenciales en los servicios de salud de segundo y tercer nivel","DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re"
"58","DR-L1067","Dominican Republic","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re"
"59","DR-L1069","Dominican Republic","+Mejorar la cobertura, la calidad y el acceso de los servicios de salud para la población más vulnerable de República Dominicana (RD).","Incrementar la eficiencia y la efectividad del gasto en salud","DR-L1069 - Program to Support Strengthening of Health Sector Management"
"60","DR-L1069","Dominican Republic","+Mejorar la cobertura, la calidad y el acceso de los servicios de salud para la población más vulnerable de República Dominicana (RD).","Mejorar la calidad de los servicios de salud destinados a la poblacion más vulnerable","DR-L1069 - Program to Support Strengthening of Health Sector Management"
"61","EC-L1270","Ecuador","+Contribuir a reducir la morbilidad y la mortalidad por COVID-19 y a mitigar los demás efectos indirectos de la pandemia sobre la salud y los niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis causada por el COVID-19","Mejorar la capacidad de provisión de servicios de salud","EC-L1270 - Support to the provision of health and social protection services in the context of the pandemic of the coronavirus COVID-19"
"62","EC-L1270","Ecuador","+Contribuir a reducir la morbilidad y la mortalidad por COVID-19 y a mitigar los demás efectos indirectos de la pandemia sobre la salud y los niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis causada por el COVID-19","Mejorar la detección y el seguimiento de los casos","EC-L1270 - Support to the provision of health and social protection services in the context of the pandemic of the coronavirus COVID-19"
"63","EC-L1270","Ecuador","+Contribuir a reducir la morbilidad y la mortalidad por COVID-19 y a mitigar los demás efectos indirectos de la pandemia sobre la salud y los niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis causada por el COVID-19","Apoyar niveles mínimos de ingreso de personas afectadas por el coronavirus en el periodo inmediato","EC-L1270 - Support to the provision of health and social protection services in the context of the pandemic of the coronavirus COVID-19"
"64","ES-L1095","El Salvador","+Mejora de la salud de la población a través del fortalecimiento de la provisión de servicios de salud en todos los niveles de atención de la red y mejora de la eficiencia de la gestión de la red pública","Riesgos hospitalarios","ES-L1095 - Integrated Health Program II"
"65","ES-L1095","El Salvador","+Mejora de la salud de la población a través del fortalecimiento de la provisión de servicios de salud en todos los niveles de atención de la red y mejora de la eficiencia de la gestión de la red pública","Accesibilidad y abastecimiento de los servicios hospitalarios","ES-L1095 - Integrated Health Program II"
"66","ES-L1095","El Salvador","+Mejora de la salud de la población a través del fortalecimiento de la provisión de servicios de salud en todos los niveles de atención de la red y mejora de la eficiencia de la gestión de la red pública","Cumplimiento del marco regulatorio sanitario y ambiental por establecimientos de salud del Primer Nivel de Atención","ES-L1095 - Integrated Health Program II"
"67","ES-L1095","El Salvador","+Mejora de la salud de la población a través del fortalecimiento de la provisión de servicios de salud en todos los niveles de atención de la red y mejora de la eficiencia de la gestión de la red pública","Cobertura y oportunidad de acciones en el primer nivel","ES-L1095 - Integrated Health Program II"
"68","ES-L1095","El Salvador","+Mejora de la salud de la población a través del fortalecimiento de la provisión de servicios de salud en todos los niveles de atención de la red y mejora de la eficiencia de la gestión de la red pública","Funcionamiento de la red","ES-L1095 - Integrated Health Program II"
"69","ES-L1095","El Salvador","+Mejora de la salud de la población a través del fortalecimiento de la provisión de servicios de salud en todos los niveles de atención de la red y mejora de la eficiencia de la gestión de la red pública","Eficiencia hospitalaria y primer nivel","ES-L1095 - Integrated Health Program II"
"72","GU-L1163","Guatemala","+Tasa de Mortalidad Infantil Huehuetenango y San Marcos","Resultado 2: Calidad de servicio mejorada en Huehuetenango y San Marcos","GU-L1163 - Program to Strengthen the Institutional Healthcare Service Network (PRORISS)"
"73","GU-L1163","Guatemala","+Tasa de Mortalidad Infantil Huehuetenango y San Marcos","Resultado 1: Cobertura de servicios materno infantil mejorada en Huehuetenango y San Marcos","GU-L1163 - Program to Strengthen the Institutional Healthcare Service Network (PRORISS)"
"74","GU-L1163","Guatemala","+Tasa de Mortalidad Infantil Huehuetenango y San Marcos","Resultado 3: Eficiencia Productiva Mejorada","GU-L1163 - Program to Strengthen the Institutional Healthcare Service Network (PRORISS)"
"75","GU-L1163","Guatemala","+Razón de Mortalidad Materna Huehuetenango y San Marcos","Resultado 2: Calidad de servicio mejorada en Huehuetenango y San Marcos","GU-L1163 - Program to Strengthen the Institutional Healthcare Service Network (PRORISS)"
