"","Project Number","Country Name.x","objectives","outcomes","Long.op.name"
"76","GU-L1163","Guatemala","+Razón de Mortalidad Materna Huehuetenango y San Marcos","Resultado 1: Cobertura de servicios materno infantil mejorada en Huehuetenango y San Marcos","GU-L1163 - Program to Strengthen the Institutional Healthcare Service Network (PRORISS)"
"77","GU-L1163","Guatemala","+Razón de Mortalidad Materna Huehuetenango y San Marcos","Resultado 3: Eficiencia Productiva Mejorada","GU-L1163 - Program to Strengthen the Institutional Healthcare Service Network (PRORISS)"
"78","GY-L1058","Guyana","+Contribute to the reduction of maternal, perinatal, and neonatal deaths in Guyana by 2021","Increased access and use of reproductive, maternal, and neonatal health services","GY-L1058 - Support to Improve Maternal and Child Health"
"79","GY-L1058","Guyana","+Contribute to the reduction of maternal, perinatal, and neonatal deaths in Guyana by 2021","Increased effectiveness of the maternal and neonatal healthcare network","GY-L1058 - Support to Improve Maternal and Child Health"
"80","GY-L1058","Guyana","+Contribute to the reduction of maternal, perinatal, and neonatal deaths in Guyana by 2021","Improved quality of reproductive, maternal, and neonatal health services","GY-L1058 - Support to Improve Maternal and Child Health"
"81","GY-L1080","Guyana","+Improve the health of the Guyanese population through increased access, quality, and efficiency of health services","Improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals","GY-L1080 - Health Care Network Strengthening in Guyana"
"82","GY-L1080","Guyana","+Improve the health of the Guyanese population through increased access, quality, and efficiency of health services","Increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs","GY-L1080 - Health Care Network Strengthening in Guyana"
"83","GY-L1080","Guyana","+Improve the health of the Guyanese population through increased access, quality, and efficiency of health services","Extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country’s hinterlands, through digital health","GY-L1080 - Health Care Network Strengthening in Guyana"
"86","HO-L1195","Honduras","+Reducción de la mortalidad materna neonatal","Incremento de la Cobertura de atención materno neonatal con enfoque de atención primaria","HO-L1195 - Program to improve the management and quality of maternal-neonatal health services"
"87","HO-L1195","Honduras","+Reducción de la mortalidad materna neonatal","Mejoramiento de la calidad de la atención hospitalaria de las complicaciones obstétricas neonatales","HO-L1195 - Program to improve the management and quality of maternal-neonatal health services"
"88","HO-L1199","Honduras","+Reducción de Lesiones de Causas externas","Apoyar intervenciones para interrumpir la cadena de transmisión de la enfermedad","HO-L1199 - COMPREHENSIVE STRENGTHENING OF TEGUCIGALPA’S TRAUMA AND EMERGENCY CARE NETWORK"
"89","HO-L1199","Honduras","+Reducción de Lesiones de Causas externas","Fortalecer la conducción de la respuesta a nivel del país","HO-L1199 - COMPREHENSIVE STRENGTHENING OF TEGUCIGALPA’S TRAUMA AND EMERGENCY CARE NETWORK"
"90","HO-L1199","Honduras","+Reducción de Lesiones de Causas externas","Mejorar la capacidad de prestación de servicios","HO-L1199 - COMPREHENSIVE STRENGTHENING OF TEGUCIGALPA’S TRAUMA AND EMERGENCY CARE NETWORK"
"91","HO-L1199","Honduras","+Reducción de Lesiones de Causas externas","Mejorar la detección y el seguimiento de los casos","HO-L1199 - COMPREHENSIVE STRENGTHENING OF TEGUCIGALPA’S TRAUMA AND EMERGENCY CARE NETWORK"
"92","HO-L1199","Honduras","+COVID","Apoyar intervenciones para interrumpir la cadena de transmisión de la enfermedad","HO-L1199 - COMPREHENSIVE STRENGTHENING OF TEGUCIGALPA’S TRAUMA AND EMERGENCY CARE NETWORK"
"93","HO-L1199","Honduras","+COVID","Fortalecer la conducción de la respuesta a nivel del país","HO-L1199 - COMPREHENSIVE STRENGTHENING OF TEGUCIGALPA’S TRAUMA AND EMERGENCY CARE NETWORK"
"94","HO-L1199","Honduras","+COVID","Mejorar la capacidad de prestación de servicios","HO-L1199 - COMPREHENSIVE STRENGTHENING OF TEGUCIGALPA’S TRAUMA AND EMERGENCY CARE NETWORK"
"95","HO-L1199","Honduras","+COVID","Mejorar la detección y el seguimiento de los casos","HO-L1199 - COMPREHENSIVE STRENGTHENING OF TEGUCIGALPA’S TRAUMA AND EMERGENCY CARE NETWORK"
"96","JA-L1049","Jamaica","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"97","JA-L1049","Jamaica","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","To strenghten comprehensive policies to prevent non-communicable (chronic) diseases risk factors","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"98","JA-L1049","Jamaica","+To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management to provide more efficient and higher quality care.","To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"99","JA-L1049","Jamaica","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"100","JA-L1049","Jamaica","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","To strenghten comprehensive policies to prevent non-communicable (chronic) diseases risk factors","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"101","JA-L1049","Jamaica","+The Programme objective is to contribute to the improvement of the health of Jamaica's population by strengthening comprehensive policies for the prevention of NCD risk factors and an improved access to an upgraded and integrated primary and secondary health network in prioritized areas","To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"102","JA-L1049","Jamaica","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","To provide more efficient and higher quality care for patients with chronic non-communicable diseases","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"103","JA-L1049","Jamaica","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","To strenghten comprehensive policies to prevent non-communicable (chronic) diseases risk factors","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"104","JA-L1049","Jamaica","+To strenghten comprehensive policies for the prevention of non-communicable chronic diseases","To improve access to an upgraded and integrated primary and secondary health network in prioritized areas with an emphasis on chronic disease management","JA-L1049 - Support for the Health Systems Strengthening for the Prevention and Care Management of Non-communicable Diseases Programme"
"111","NI-L1082","Nicaragua","+Acceso a servicios especializados en la Región Occidente","Indicadores de resultados finales de mejoramiento de la cobertura, calidad y eficiciencia de la atención en salud por la red de servicios","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region"
"112","NI-L1082","Nicaragua","+Morbi-mortalidad en la Región Occidente","Indicadores de resultados finales de mejoramiento de la cobertura, calidad y eficiciencia de la atención en salud por la red de servicios","NI-L1082 - Modernization of Infrastructure and Management of Hospitals - Western Region"
"113","NI-L1095","Nicaragua","+Embarazos no deseados reducidos.","Cobertura de atención primaria a la niñez aumentada.","NI-L1095 - Community Health Program for Rural Municipios"
"114","NI-L1095","Nicaragua","+Embarazos no deseados reducidos.","Acceso a información y educación en salud y servicios para los adolescentes.","NI-L1095 - Community Health Program for Rural Municipios"
"115","NI-L1095","Nicaragua","+Embarazos no deseados reducidos.","Acceso a la salud sexual y reproductiva y maternidad segura mejorado.","NI-L1095 - Community Health Program for Rural Municipios"
"116","NI-L1095","Nicaragua","+Embarazos no deseados reducidos.","Asignación de personal de atención primaria para el área rural y red comunitaria ampliada.","NI-L1095 - Community Health Program for Rural Municipios"
"117","NI-L1095","Nicaragua","+Estado nutricional de los niños mejorado.","Cobertura de atención primaria a la niñez aumentada.","NI-L1095 - Community Health Program for Rural Municipios"
"118","NI-L1095","Nicaragua","+Estado nutricional de los niños mejorado.","Acceso a información y educación en salud y servicios para los adolescentes.","NI-L1095 - Community Health Program for Rural Municipios"
"119","NI-L1095","Nicaragua","+Estado nutricional de los niños mejorado.","Acceso a la salud sexual y reproductiva y maternidad segura mejorado.","NI-L1095 - Community Health Program for Rural Municipios"
"120","NI-L1095","Nicaragua","+Estado nutricional de los niños mejorado.","Asignación de personal de atención primaria para el área rural y red comunitaria ampliada.","NI-L1095 - Community Health Program for Rural Municipios"
"121","NI-L1095","Nicaragua","+Morbilidad severa en la niñez reducida.","Cobertura de atención primaria a la niñez aumentada.","NI-L1095 - Community Health Program for Rural Municipios"
"122","NI-L1095","Nicaragua","+Morbilidad severa en la niñez reducida.","Acceso a información y educación en salud y servicios para los adolescentes.","NI-L1095 - Community Health Program for Rural Municipios"
"123","NI-L1095","Nicaragua","+Morbilidad severa en la niñez reducida.","Acceso a la salud sexual y reproductiva y maternidad segura mejorado.","NI-L1095 - Community Health Program for Rural Municipios"
"124","NI-L1095","Nicaragua","+Morbilidad severa en la niñez reducida.","Asignación de personal de atención primaria para el área rural y red comunitaria ampliada.","NI-L1095 - Community Health Program for Rural Municipios"
"125","NI-L1095","Nicaragua","+Mortalidad materna reducida.","Cobertura de atención primaria a la niñez aumentada.","NI-L1095 - Community Health Program for Rural Municipios"
"126","NI-L1095","Nicaragua","+Mortalidad materna reducida.","Acceso a información y educación en salud y servicios para los adolescentes.","NI-L1095 - Community Health Program for Rural Municipios"
"127","NI-L1095","Nicaragua","+Mortalidad materna reducida.","Acceso a la salud sexual y reproductiva y maternidad segura mejorado.","NI-L1095 - Community Health Program for Rural Municipios"
"128","NI-L1095","Nicaragua","+Mortalidad materna reducida.","Asignación de personal de atención primaria para el área rural y red comunitaria ampliada.","NI-L1095 - Community Health Program for Rural Municipios"
"129","NI-L1143","Nicaragua","+Reducción de la desnutrición crónica en menores de 5 años","Calidad de atención de la salud mejorada","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"130","NI-L1143","Nicaragua","+Reducción de la desnutrición crónica en menores de 5 años","Numero de casos de malaria reducidos","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"131","NI-L1143","Nicaragua","+Reducción de la desnutrición crónica en menores de 5 años","Gestión territorial de determinantes de la salud mejorada","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"132","NI-L1143","Nicaragua","+Mortalidad Materna e infantil reducidas","Calidad de atención de la salud mejorada","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"133","NI-L1143","Nicaragua","+Mortalidad Materna e infantil reducidas","Numero de casos de malaria reducidos","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"134","NI-L1143","Nicaragua","+Mortalidad Materna e infantil reducidas","Gestión territorial de determinantes de la salud mejorada","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"135","NI-L1143","Nicaragua","+Mortalidad por enfermedades crónicas no transmisibles reducida","Calidad de atención de la salud mejorada","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"136","NI-L1143","Nicaragua","+Mortalidad por enfermedades crónicas no transmisibles reducida","Numero de casos de malaria reducidos","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"137","NI-L1143","Nicaragua","+Mortalidad por enfermedades crónicas no transmisibles reducida","Gestión territorial de determinantes de la salud mejorada","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"138","NI-L1143","Nicaragua","+Reducción de la prevalencia de malaria.","Calidad de atención de la salud mejorada","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"139","NI-L1143","Nicaragua","+Reducción de la prevalencia de malaria.","Numero de casos de malaria reducidos","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"140","NI-L1143","Nicaragua","+Reducción de la prevalencia de malaria.","Gestión territorial de determinantes de la salud mejorada","NI-L1143 - Programa Multisectorial de Atención a Determinantes de la Salud en el Corredor Seco"
"141","NI-L1161","Nicaragua","+Objetivo General : Contribuir a reducir la morbilidad y la mortalidad por COVID-19 y a mitigar los demás efectos indirectos de la pandemia sobre la salud de la población nicaragüense con énfasis en los más vulnerables.","OBJETIVO ESPECÍFICO 2: Apoyar esfuerzos para la interrupción de la cadena de transmisión de la enfermedad3","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"142","NI-L1161","Nicaragua","+Objetivo General : Contribuir a reducir la morbilidad y la mortalidad por COVID-19 y a mitigar los demás efectos indirectos de la pandemia sobre la salud de la población nicaragüense con énfasis en los más vulnerables.","OBJETIVO ESPECÍFICO 1: Mejorar la detección y el seguimiento de los casos","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"143","NI-L1161","Nicaragua","+Objetivo General : Contribuir a reducir la morbilidad y la mortalidad por COVID-19 y a mitigar los demás efectos indirectos de la pandemia sobre la salud de la población nicaragüense con énfasis en los más vulnerables.","OBJETIVO ESPECÍFICO 3: Mejorar la capacidad de provisión de servicios","NI-L1161 - Immediate Response of Public Health to Contain and Control Coronavirus and Mitigate its Effect on the Provision of the Service in Nicaragua"
"144","PE-L1228","Peru","+Calidad de los servicios en el primer nivel de atención mejorada","Capacidades de oferta de servicios de salud mejoradas","PE-L1228 - Program to Create Integrated Health Networks"
"145","PN-L1115","Panama","+Contribuir a la reducción de la mortalidad infantil a través de una mayor cobertura y calidad de los servicios de salud","Contribuir al mejoramiento de las condiciones de salud y nutrición de la población en situación de pobreza y pobreza extrema","PN-L1115 - Integrated Health Service Networks Strengthening Program"
"146","PN-L1115","Panama","+Contribuir a la reducción de la mortalidad materna a través de una mayor cobertura y calidad de los servicios de salud","Contribuir al mejoramiento de las condiciones de salud y nutrición de la población en situación de pobreza y pobreza extrema","PN-L1115 - Integrated Health Service Networks Strengthening Program"
"147","PN-L1115","Panama","+Contribuir a la reducción de las enfermedades no transmisibles a través de una mayor cobertura y calidad de los servicios de salud","Contribuir al mejoramiento de las condiciones de salud y nutrición de la población en situación de pobreza y pobreza extrema","PN-L1115 - Integrated Health Service Networks Strengthening Program"
"148","PN-L1115","Panama","+Mejorar las condiciones de salud y nutrición de la población en situación de pobreza y pobreza extrema","Contribuir al mejoramiento de las condiciones de salud y nutrición de la población en situación de pobreza y pobreza extrema","PN-L1115 - Integrated Health Service Networks Strengthening Program"
"149","PR-L1167","Paraguay","+Contribuir a la mejora de las condiciones de salud de la población más vulnerable de Paraguay, a través del fortalecimiento de las RIISS basadas en Atención Primaria de Salud (APS).","Nivel de RS a ser intervenidas (promedio entre Concepción, San Pedro, Caazapá, Alto Paraná)","PR-L1167 - Program to Strengthen Integrated and Comprehensive Health Services Networks based on Primary Health Care"
"150","PR-L1190","Paraguay","+Mejorar el estado de salud de la población priorizada por medio de la extensión de la accesibilidad y cobertura efectiva de servicios de salud de calidad","Incrementar la eficiencia y calidad de los procesos asistenciales","PR-L1190 - Strengthening of the San Estanislao Hospital Services Network"
"151","PR-L1190","Paraguay","+Mejorar el estado de salud de la población priorizada por medio de la extensión de la accesibilidad y cobertura efectiva de servicios de salud de calidad","Aumentar la capacidad resolutiva de la oferta de servicios de salud de segundo y tercer nivel (cobertura/acceso)","PR-L1190 - Strengthening of the San Estanislao Hospital Services Network"
"152","SU-L1054","Suriname","+Reduction of burden of disease in Suriname","Access to priority CD preventive services for targeted population increased","SU-L1054 - Health Services Improvement Project"
"153","SU-L1054","Suriname","+Reduction of burden of disease in Suriname","Effectiveness of health sector enhanced to address priority epidemiological challenges","SU-L1054 - Health Services Improvement Project"
"154","TT-L1039","Trinidad and Tobago","+Lifestyle diseases management among adults improved","Improving management of Non-Communicable Diseases (NCD) risk factors through expanded screening and treatment of NCDs.","TT-L1039 - Health Services Support Program"
"155","TT-L1039","Trinidad and Tobago","+Lifestyle diseases management among adults improved","Expanding obesity prevention programmes through physical activity and nutrition interventions.","TT-L1039 - Health Services Support Program"
"156","TT-L1039","Trinidad and Tobago","+Lifestyle diseases management among adults improved","Expanding service delivery through a modern Health Facilities Investment Management system.","TT-L1039 - Health Services Support Program"
"157","TT-L1039","Trinidad and Tobago","+Lifestyle diseases management among adults improved","Improving human resources for health management through enhanced Human Resources Leadership, Governance and Accountability","TT-L1039 - Health Services Support Program"
"158","TT-L1039","Trinidad and Tobago","+Lifestyle diseases management among adults improved","Improving service delivery through an electronic health records based Health Information Management Systems","TT-L1039 - Health Services Support Program"
"159","TT-L1039","Trinidad and Tobago","+Healthier weight status among primary school age children (5-13 years) achieved","Improving management of Non-Communicable Diseases (NCD) risk factors through expanded screening and treatment of NCDs.","TT-L1039 - Health Services Support Program"
"160","TT-L1039","Trinidad and Tobago","+Healthier weight status among primary school age children (5-13 years) achieved","Expanding obesity prevention programmes through physical activity and nutrition interventions.","TT-L1039 - Health Services Support Program"
"161","TT-L1039","Trinidad and Tobago","+Healthier weight status among primary school age children (5-13 years) achieved","Expanding service delivery through a modern Health Facilities Investment Management system.","TT-L1039 - Health Services Support Program"
"162","TT-L1039","Trinidad and Tobago","+Healthier weight status among primary school age children (5-13 years) achieved","Improving human resources for health management through enhanced Human Resources Leadership, Governance and Accountability","TT-L1039 - Health Services Support Program"
"163","TT-L1039","Trinidad and Tobago","+Healthier weight status among primary school age children (5-13 years) achieved","Improving service delivery through an electronic health records based Health Information Management Systems","TT-L1039 - Health Services Support Program"
"164","UR-L1161","Uruguay","+Mejorar la efectividad y eficiencia de la producción de servicios públicos de salud","Promover el uso de información asistencial y de recursos de ASSE al nivel de sus unidades asistenciales","UR-L1161 - Program to Strengthen the Management of ASSE"
